Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
210151987,Waardenloze politiek (Dutch Edition),Tom van der Meer,"Meer, Tom van der",,"=""9021498367""","=""9789021498362""",4,3.87,Querido,Kindle Edition,194,2024,,2025/02/02,2024/12/31,2025,2025 (#2),read,,,,1,0
60166662,We waren gewaarschuwd,Jaap Tielbeke,"Tielbeke, Jaap",,"=""9493248216""","=""9789493248212""",3,3.85,Das Mag Uitgeverij B.V. ,Paperback,184,2022,,2025/01/11,2024/12/31,2025,2025 (#1),read,,,,1,0
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah Smith,"=""0553448188""","=""9780553448184""",3,3.64,Hogarth,Hardcover,188,2016,2007,2024/10/18,2024/09/11,2024,2024 (#21),read,,,,1,0
220975103,Komt een land bij de dokter: Nederland door de ogen van een straatarts,Michelle van Tongerloo,"Tongerloo, Michelle van",,"=""9493254526""","=""9789493254527""",4,4.35,De Correspondent,Paperback,284,2024,2024,2024/12/27,2024/12/08,2024,2024 (#27),read,,,,1,0
61190770,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,"Adjei-Brenyah, Nana Kwame",,"=""0593317335""","=""9780593317334""",0,4.12,Pantheon,Hardcover,367,2023,2023,,2024/12/26,to-read,to-read (#35),to-read,,,,0,0
5308,The Pearl,John Steinbeck,"Steinbeck, John",,"=""0142000698""","=""9780142000694""",4,3.55,Penguin Books,Paperback,96,2002,1947,2024/12/22,2018/12/21,2024,2024 (#26),read,,,,1,0
220412237,De domheid regeert: Hoe opzettelijke onwetendheid een politieke strategie werd,Sander Schimmelpenninck,"Schimmelpenninck, Sander",,"=""9493254496""","=""9789493254497""",4,3.76,De Correspondent,Paperback,184,2024,2024,2024/12/15,2024/12/15,2024,2024 (#25),read,,,,1,0
58808564,De Mitsukoshi Troostbaby Company,Auke Hulst,"Hulst, Auke",,"=""902634693X""","=""9789026346934""",4,4.07,Ambo|Anthos,Hardcover,608,2021,2021,2024/12/15,2022/10/07,2024,2024 (#24),read,,,,1,0
28695425,Strangers in Their Own Land: Anger and Mourning on the American Right,Arlie Russell Hochschild,"Hochschild, Arlie Russell",,"=""1620972255""","=""9781620972250""",5,4.12,The New Press,Hardcover,242,2016,2016,2024/12/02,2016/11/11,2024,2024 (#23),read,,,,1,0
22085241,Pluche,Femke Halsema,"Halsema, Femke",,"=""9026328060""","=""9789026328060""",4,3.89,Ambo | Anthos,Paperback,392,2016,2014,2024/11/02,2024/10/20,2024,2024 (#22),read,,,,1,0
214452480,Gekaapt door het kapitaal (Dutch Edition),Mirjam de Rijk,"Rijk, Mirjam de",,"=""9493339408""","=""9789493339408""",4,3.83,Uitgeverij Pluim,Kindle Edition,164,2024,,2024/10/12,2024/09/14,2024,2024 (#20),read,,,,1,0
58661724,"Jagen, verzamelen, opvoeden: wat we van oude culturen kunnen leren over het opvoeden van blije en behulpzame kinderen",Michaeleen Doucleff,"Doucleff, Michaeleen",,"=""940051316X""","=""9789400513167""",1,4.15,Lev boeken,Paperback,354,2021,2021,2024/09/19,2024/09/01,2024,2024 (#19),read,,,,1,0
151406251,De stad - Het verhaal van Amsterdam van 1980 tot vandaag,Marcel van Engelen,"Engelen, Marcel van",,"=""940311262X""","=""9789403112626""",4,4.35,De Bezige Bij,Kindle Edition,489,2024,,2024/08/24,2024/05/07,2024,2024 (#18),read,,,,1,0
212435142,In onze tijd: Leven in het Calamiteitperk,Tim Fransen,"Fransen, Tim",,"=""902134260X""","=""9789021342603""",4,4.22,Alfabet Uitgevers,Paperback,368,2024,2024,2024/08/17,2024/08/05,2024,2024 (#17),read,,,,1,0
48484,"Blindsight (Firefall, #1)",Peter Watts,"Watts, Peter",,"=""0765312182""","=""9780765312181""",4,4.01,Tor Books,Hardcover,384,2006,2006,2016/06/14,2015/11/18,2016,2016 (#20),read,,,,1,0
6443834,"1Q84 Book 1 (1Q84, #1)",Haruki Murakami,"Murakami, Haruki",,"=""4103534222""","=""9784103534228""",3,3.95,Shinchosha/Tsai Fong Books,Hardcover,554,2009,2009,2018/06/04,2018/05/15,2018,2018 (#10),read,,,,1,0
12017,"Inversions (Culture, #6)",Iain M. Banks,"Banks, Iain M.",,"=""074341196X""","=""9780743411967""",4,3.96,Pocket Books,Paperback,343,2001,1998,2024/08/05,2023/01/06,2024,2024 (#16),read,,,,1,0
129131,"The State of the Art (Culture, #4)",Iain M. Banks,"Banks, Iain M.",,"=""1597800740""","=""9781597800747""",4,3.83,Night Shade Books (San Francisco),Paperback,188,2007,1991,2024/07/28,2023/01/06,2024,2024 (#15),read,,,,1,0
211168811,Armoede uitgelegd aan mensen met geld,Tim 'S Jongers,"Jongers, Tim 'S",,"=""9493254461""","=""9789493254466""",4,4.04,De Correspondent,Paperback,186,2024,2024,2024/07/23,2024/07/20,2024,2024 (#14),read,,,,1,0
39794472,Concept M,Aafke Romeijn,"Romeijn, Aafke",,"=""9029510056""","=""9789029510059""",3,3.44,De Arbeiderspers,Paperback,253,2017,2018,2024/06/19,2024/05/28,2024,2024 (#12),read,,,,1,0
210193750,De net-niet elite: Hoogopgeleiden tussen macht en meritocratie,Dylan van Rijsbergen,"Rijsbergen, Dylan van",,"=""9462499365""","=""9789462499362""",4,3.98,Mazirel Pers,Kindle Edition,201,2024,2024,2024/07/20,2024/06/09,2024,2024 (#13),read,,,,1,0
151418508,Plan van de Arbeid (Dutch Edition),Michiel Zonneveld,"Zonneveld, Michiel",,"=""9021423839""","=""9789021423838""",3,3.83,Querido Fosfor,Kindle Edition,136,2023,,2024/05/31,2024/05/20,2024,2024 (#11),read,,,,1,0
199339145,Ik kom hier nog op terug,Rob van Essen,"Essen, Rob van",,"=""9025475272""","=""9789025475277""",4,3.68,Atlas Contact,Paperback,398,2023,2023,2024/06/13,2024/05/20,2024,2024 (#10),read,,,,1,0
28763,His Master's Voice,Stanisław Lem,"Lem, Stanisław",Michael Kandel,"=""0810117312""","=""9780810117310""",4,4.07,Northwestern University Press,Paperback,199,1999,1968,2024/05/26,2020/07/27,2024,2024 (#9),read,,,,1,0
53317419,"Love People, Use Things: Because the Opposite Never Works",Joshua Fields Millburn,"Millburn, Joshua Fields",Ryan Nicodemus,"=""1250236517""","=""9781250236517""",3,3.78,Celadon Books,Hardcover,336,2021,2021,2024/05/04,2024/04/17,2024,2024 (#8),read,,,,1,0
332613,One Flew Over the Cuckoo's Nest,Ken Kesey,"Kesey, Ken",,"=""""","=""""",4,4.20,Signet,Mass Market Paperback,325,1963,1962,2024/05/02,2022/05/03,2024,2024 (#7),read,,,,1,0
199122945,Hoe migratie echt werkt,Hein de Haas,"Haas, Hein de",,"=""9000386853""","=""9789000386857""",5,4.38,Spectrum,Paperback,520,2023,2023,2024/04/17,2024/02/21,2024,2024 (#6),read,,,,1,0
40108964,Weg ermee,Dennis Storm,"Storm, Dennis",,"=""9000347483""","=""9789000347483""",4,3.67,Spectrum,Paperback,112,2018,2018,2024/03/17,2024/03/14,2024,2024 (#5),read,,,,1,0
42625575,Fokking druk: Het ultieme anti-stressboek,Thijs Launspach,"Launspach, Thijs",,"=""9000363705""","=""""",4,3.64,Spectrum,Kindle Edition,240,2018,2018,2022/10/07,2022/09/18,2022,2022 (#19),read,,,,1,0
61024548,Neoliberalisme: Een Nederlandse Geschiedenis,Bram Mellink,"Mellink, Bram",Merijn Oudenampsen,"=""9024442486""","=""9789024442485""",4,4.16,Boom,Paperback,336,2022,,2024/02/21,2023/08/15,2024,2024 (#4),read,,,,1,0
