Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
163977,Tortilla Flat,John Steinbeck,"Steinbeck, John",,0582461502,9780582461505,2,3.83,Pearson Schools,Hardcover,256,2001,1935,2022/07/08,2022/07/06,,,read,,,,1,0
60637636,Passagiers / Achterblijvers,Thomas Heerma van Voss,"Voss, Thomas Heerma van",,9493248240,9789493248243,4,3.9,Das Mag,Paperback,224,2022,2022,2022/07/02,2022/05/08,,,read,,,,1,0
58808564,De Mitsukoshi Troostbaby Company,Auke Hulst,"Hulst, Auke",,902634693X,9789026346934,4,4.07,Ambo|Anthos,Hardcover,608,2021,2021,2022/06/13,2022/01/31,,,read,,,,1,0
25782268,Notities uit de jungle,Hanya Yanagihara,"Yanagihara, Hanya","Inger Limburg, Lucie van Rooijen",9046817555,9789046817551,0,3.73,Nieuw Amsterdam,Paperback,416,2015,2013,,2022/05/31,to-read,to-read (#2),to-read,,,,0,0
59470555,Aleksandra,Lisa Weeda,"Weeda, Lisa",,9403130814,9789403130811,3,3.55,De Bezige Bij,Paperback,351,2021,2021,2022/03/24,2022/03/20,,,read,,,,1,0
39279780,Upgrade Soul,Ezra Claytan Daniels,"Daniels, Ezra Claytan",,1549302922,9781549302923,4,4.1,Oni Press,Paperback,272,2018,2018,2022/05/10,2022/05/06,,,read,,,,1,0
40961621,"King Leopold's Ghost: A Story of Greed, Terror, and Heroism in Colonial Africa",Adam Hochschild,"Hochschild, Adam",,,,4,4.18,Mariner Books,Kindle Edition,442,1999,1998,2022/05/06,2022/01/21,,,read,Dit was geen leuk boek,,,1,0
17780,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,"Philbrick, Nathaniel",,0141001828,9780141001821,0,4.16,Penguin Books,Paperback,302,2001,2000,,2021/11/22,"to-read, boekenclub-ideeën","to-read (#1), boekenclub-ideeën (#1)",to-read,,,,0,0
26154389,Zero K,Don DeLillo,"DeLillo, Don",,1501135392,9781501135392,3,3.2,Scribner,Hardcover,274,2016,2016,2022/03/12,2022/03/02,,,read,,,,1,0
28921,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,,,4,4.14,Faber & Faber,Paperback,258,2005,1989,2022/04/24,2022/03/12,,,read,,,,1,0
23372884,Weg met Eddy Bellegueule,Édouard Louis,"Louis, Édouard",Edu Borger,9085425999,9789085425991,3,3.93,De Bezige Bij,Paperback,202,2014,2014,2022/04/03,2022/03/25,,,read,,,,1,0
59471892,Waanzin aan het einde van de aarde,Julian Sancton,"Sancton, Julian",Frans Reusink,9048846862,9789048846863,2,4.27,Hollands Diep,Kindle Edition,473,2021,2021,2022/03/20,2021/11/27,,,read,Nogal een soort Discovery Channel achtig manier van vertellen. ‘Air Crash Investigation’. Weinig echte diepgang ,,,1,0
2788091,Het kaartenhuis,Mark Z. Danielewski,"Danielewski, Mark Z.","Martine Vosmaer, Karina van Santen",9023453638,9789023453635,5,4.09,De Bezige Bij,Paperback,713,2001,2000,2022/01/20,2021/12/23,,,read,,,,1,0
22237471,Bonita Avenue,Peter Buwalda,"Buwalda, Peter",Jonathan Reeder,0553417851,9780553417852,4,3.74,Hogarth,Hardcover,536,2015,2010,2021/12/23,2021/11/28,,,read,,,,1,0
20906791,Wonton Soup: Big Bowl Edition,James Stokoe,"Stokoe, James",,1620101661,9781620101667,3,3.91,Oni Press,Paperback,392,2014,2014,2021/12/20,2021/11/28,,,read,,,,1,0
257605,The Lost Weekend,Charles Jackson,"Jackson, Charles",Charles R.  Jackson,081560419X,9780815604198,5,4.09,Syracuse Univ Pr,Paperback,244,1996,1944,2021/12/13,2015/09/19,,,read,,,,1,0
6193,Life & Times of Michael K,J.M. Coetzee,"Coetzee, J.M.",,,,4,3.86,Vintage,Paperback,192,2004,1983,2021/12/05,2021/12/03,,,read,,,,1,0
41456850,Grand Hotel Europa,Ilja Leonard Pfeijffer,"Pfeijffer, Ilja Leonard",,902952622X,9789029526227,4,4.04,Uitgeverij De Arbeiderspers,Hardcover,547,2018,2018,2021/12/01,2021/11/23,,,read,,,,1,0
42111825,De goede zoon,Rob van Essen,"Essen, Rob van",,9025453414,9789025453411,4,3.35,Uitgeverij Atlas Contact,Paperback,384,2018,2018,2021/09/03,2020/05/10,,,read,,,,1,0
37920801,Het ijs,Anna Kavan,"Kavan, Anna",M. Marshall-van Wieringen,9020415549,9789020415544,4,3.66,LJ Veen Klassiek,Paperback,208,2017,1967,2021/08/03,2021/07/25,,,read,,,,1,0
