Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
9934441,Galapagos,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",Riccardo Mainardi,8845244164,9788845244162,4,3.87,Bompiani,Paperback,302,2000,1985,,,,,read,,,,1,0
28763,His Master's Voice,Stanisław Lem,"Lem, Stanisław",Michael Kandel,0810117312,9780810117310,3,4.09,Northwestern University Press,Paperback,199,1999,1968,,,,,read,,,,1,0
39794472,Concept M,Aafke Romeijn,"Romeijn, Aafke",,9029510056,9789029510059,2,3.46,De Arbeiderspers,Paperback,253,2017,2018,,,,,read,,,,1,0
4703581,The City & the City,China Miéville,"Miéville, China",,0345497511,9780345497512,2,3.9,Del Rey/Ballantine Books,Hardcover,312,2009,2009,,,,,read,,,,1,0
