Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1358991,Blokken,F. Bordewijk,"Bordewijk, F.",,"=""""","=""""",0,3.32,,,39,,1931,,2022/11/02,to-read,to-read (#9),to-read,,,,0,0
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0385353308""","=""9780385353304""",4,4.07,Knopf,Hardcover,333,2014,2014,2022/10/22,2022/09/12,,,read,,,,1,0
26082916,"Ready Player Two (Ready Player One, #2)",Ernest Cline,"Cline, Ernest",,"=""1524761338""","=""9781524761332""",2,3.43,Ballantine Books,Hardcover,370,2020,2020,2022/08/04,2022/08/06,,,read,"Zeer matig, maar met spetterend filosofisch einde",,,1,0
332613,One Flew Over the Cuckoo’s Nest,Ken Kesey,"Kesey, Ken",,"=""""","=""""",4,4.20,Signet,Mass Market Paperback,325,1963,1962,2022/06/26,2022/06/26,,,read,,,,1,0
25782268,Notities uit de jungle,Hanya Yanagihara,"Yanagihara, Hanya","Inger Limburg, Lucie van Rooijen","=""9046817555""","=""9789046817551""",3,3.73,Nieuw Amsterdam,Paperback,416,2015,2013,2022/05/24,2022/05/24,,,read,,,,1,0
8935689,"Consider Phlebas (Culture, #1)",Iain M. Banks,"Banks, Iain M.",,"=""1857231384""","=""9781857231380""",4,3.85,Orbit,Paperback,467,1988,1987,2022/04/12,2022/04/13,,,read,,,,1,0
60218644,De zeven vinkjes: hoe mannen zoals ik de baas spelen,Joris Luyendijk,"Luyendijk, Joris",,"=""9493256677""","=""9789493256675""",3,3.62,Pluim,Paperback,200,2022,2022,2022/03/03,2022/03/04,,,read,,,,1,0
54626223,"Harlem Shuffle (Ray Carney, #1)",Colson Whitehead,"Whitehead, Colson",,"=""0385545134""","=""9780385545136""",2,3.74,Doubleday,Hardcover,318,2021,2021,2022/03/01,2022/03/04,,,read,,,,1,0
2788091,Het kaartenhuis,Mark Z. Danielewski,"Danielewski, Mark Z.","Martine Vosmaer, Karina van Santen","=""9023453638""","=""9789023453635""",3,4.09,De Bezige Bij,Paperback,713,2001,2000,2022/02/10,2022/02/11,,,read,,,,1,0
28676,American Psycho,Bret Easton Ellis,"Ellis, Bret Easton",,"=""0679735771""","=""9780679735779""",2,3.81,Vintage Contemporaries / Random House,Paperback,399,1991,1991,2021/12/14,2021/12/15,,,read,,,,1,0
29981,The Island of Dr. Moreau,H.G. Wells,"Wells, H.G.",Alan Lightman,"=""0553214322""","=""9780553214321""",4,3.73,Bantam Classic & Loveswept,Unknown Binding,160,1999,1896,2021/12/03,2021/12/03,,,read,,,,1,0
56971349,De geheugenpolitie,Yōko Ogawa,"Ogawa, Yōko",Luk Van Haute,"=""9059369459""","=""9789059369450""",4,3.72,Cossee,Paperback,318,2021,1994,2021/10/17,2021/10/18,,,read,,,,1,0
9592,Mother Night,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385334141""","=""9780385334143""",3,4.23,Dial Press,Paperback,282,1999,1961,2021/09/21,2021/09/22,,,read,,,,1,0
42443727,Ze hebben mijn vader vermoord,Édouard Louis,"Louis, Édouard","Jan Pieter van der Sterre, Reintje Ghoos","=""""","=""""",3,4.16,"Uitgeverij De Bezige Bij b.v.,",Kindle Edition,73,2018,2018,2021/09/05,2021/09/06,,,read,,,,1,0
56098078,De geschiedenis van mijn seksualiteit,Sofie Lakmaker,"Lakmaker, Sofie",Tobi Lakmaker,"=""""","=""""",2,3.77,Das Mag Uitgevers,Paperback,223,2021,2021,2021/09/02,2021/09/02,,,read,,,,1,0
58495896,Mathieu van der Poel: Het fenomeen verklaard,Mark de Bruijn,"Bruijn, Mark de",,"=""""","=""""",2,2.80,Kosmos Uitgevers,Paperback,173,2021,,2021/08/22,2021/08/22,,,read,,,,1,0
37920801,Het ijs,Anna Kavan,"Kavan, Anna",M. Marshall-van Wieringen,"=""9020415549""","=""9789020415544""",2,3.67,LJ Veen Klassiek,Paperback,208,2017,1967,2021/08/12,2021/08/16,,,read,,,,1,0
6056201,Het leven van Pi,Yann Martel,"Martel, Yann","Gerda Baardman, Tjadine Stheeman","=""9035125606""","=""9789035125605""",3,3.94,Prometheus,Paperback,319,2003,2001,2021/07/14,2021/07/15,,,read,,,,1,0
28358171,Het smelt,Lize Spit,"Spit, Lize",,"=""""","=""""",5,3.67,Das Mag,Paperback,480,2016,2016,2021/06/06,2021/06/06,,,read,,,,1,0
163977,Tortilla Flat,John Steinbeck,"Steinbeck, John",,"=""0582461502""","=""9780582461505""",4,3.83,Pearson Schools,Hardcover,256,2001,1935,2021/05/11,2021/05/12,,,read,,,,1,0
6394667,Erik of het klein Insectenboek,Godfried Bomans,"Bomans, Godfried",Karel Thole,"=""""","=""""",2,3.61,Prisma boeken,Paperback,208,1951,1940,2021/04/11,2021/04/12,,,read,,,,1,0
16234584,The Drowned World,J.G. Ballard,"Ballard, J.G.",Martin Amis,"=""0871403625""","=""9780871403629""",2,3.48,Liveright,Paperback,198,2013,1962,2021/04/04,2021/04/04,,,read,,,,1,0
41811,"The Caves of Steel (Robot, #1)",Isaac Asimov,"Asimov, Isaac",,"=""""","=""""",3,4.19,Voyager,Mass Market Paperback,206,1997,1953,2021/03/25,2021/03/26,,,read,,,,1,0
7767021,Who Fears Death,Nnedi Okorafor,"Okorafor, Nnedi",,"=""075640617X""","=""9780756406172""",1,3.94,DAW Hardcover,Hardcover,386,2010,2010,2020/06/27,2020/06/28,,,read,,,,1,0
60931,Kindred,Octavia E. Butler,"Butler, Octavia E.",,"=""0807083690""","=""9780807083697""",4,4.30,Beacon Press,Paperback,288,2004,1979,2021/02/28,2021/01/01,,,read,,,,1,0
38344150,De avond is ongemak,Marieke Lucas Rijneveld,"Rijneveld, Marieke Lucas","Michele Hutchison, Genevieve Gaunt","=""""","=""""",3,3.45,Atlas Contact,Kindle Edition,260,2018,2018,2021/02/08,2021/01/01,,,read,,,,1,0
