Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
690051,Consider the Lobster and Other Essays,David Foster Wallace,"Wallace, David Foster","","=""0316013323""","=""9780316013321""",4,4.19,Back Bay Books,Paperback,344,2007,2005,"",2015/12/04,"","",read,"","","",1,0
25140686,De kat,Takashi Hiraide,"Hiraide, Takashi",Luk Van Haute,"=""9029090391""","=""9789029090391""",3,3.55,Meulenhoff   ,Hardcover,160,2015,2001,"",2015/12/04,"","",read,"","","",1,0
17614741,Stern,Thomas Heerma van Voss,"Voss, Thomas Heerma van","","=""9400400365""","=""9789400400368""",3,3.67,Thomas Rap,Paperback,221,2013,2012,"",2015/12/04,"","",read,"","","",1,0
502601,"Ender's Shadow (Shadow, #1)",Orson Scott Card,"Card, Orson Scott","","=""0812575717""","=""9780812575712""",3,4.32,Tom Doherty Associates,Mass Market Paperback,469,2000,1999,"",2015/12/04,"","",read,"","","",1,0
3091640,Embracing the Wide Sky: A Tour Across the Horizons of the Mind,Daniel Tammet,"Tammet, Daniel","","=""1416569693""","=""9781416569695""",4,3.76,Free Press,Hardcover,304,2009,2009,"",2015/12/04,"","",read,"","","",1,0
864890,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.","","=""0747550999""","=""9780747550990""",4,4.57,Bloomsbury Publishing,Paperback,636,2000,2000,"",2015/12/04,"","",read,"","","",1,0
9534,"Shadow of the Hegemon (The Shadow Series, #2)",Orson Scott Card,"Card, Orson Scott","","=""0812565959""","=""9780812565959""",3,3.96,Tor Books,Mass Market Paperback,451,2001,2000,"",2015/12/04,"","",read,"","","",1,0
1873903,No Country for Old Men,Cormac McCarthy,"McCarthy, Cormac","","=""0330454536""","=""9780330454537""",4,4.16,Picador,Paperback,305,2008,2005,"",2015/12/04,"","",read,"","","",1,0
20681049,Een mooie jonge vrouw,Tommy Wieringa,"Wieringa, Tommy","","=""9059652347""","=""9789059652347""",4,3.08,CPNB,Hardcover,96,2014,2014,"",2015/12/04,"","",read,"","","",1,0
861145,The Bicentennial Man,Isaac Asimov,"Asimov, Isaac",Chris Foss,"=""0586047255""","=""9780586047255""",4,4.13,Panther Books,Paperback,253,1978,1976,"",2015/12/04,"","",read,"","","",1,0
2872358,De droogte,Herman Brusselmans,"Brusselmans, Herman","","=""9044603035""","=""9789044603033""",2,3.30,Prometheus,Paperback,329,2003,2003,"",2015/12/04,"","",read,"","","",1,0
155104,Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling,"Rowling, J.K.","","=""074758110X""","=""9780747581109""",4,4.58,Bloomsbury,Hardcover,608,2005,2005,"",2015/12/04,"","",read,"","","",1,0
24893509,De zomer hou je ook niet tegen,Dimitri Verhulst,"Verhulst, Dimitri","","=""9059652746""","=""9789059652743""",4,3.25,Stichting Collectieve Propaganda van het Nederlandse Boek,Hardcover,94,2015,2015,"",2015/12/04,"","",read,"","","",1,0
6748,A Supposedly Fun Thing I'll Never Do Again:  Essays and Arguments,David Foster Wallace,"Wallace, David Foster","","=""0316925284""","=""9780316925280""",4,4.15,Back Bay Books,Paperback,353,1998,1996,"",2015/12/04,"","",read,"","","",1,0
7805,Pale Fire,Vladimir Nabokov,"Nabokov, Vladimir","","=""""","=""""",5,4.17,Penguin Books Ltd,Paperback,246,2000,1962,"",2015/12/04,"","",read,"","","",1,0
11761,Underworld,Don DeLillo,"DeLillo, Don","","=""0330369954""","=""9780330369954""",0,3.94,Picador,Paperback,827,1999,1997,"",2015/12/04,to-read,to-read (#11),to-read,"","","",0,0
6066864,Tirza,Arnon Grunberg,"Grunberg, Arnon","","=""9038827261""","=""9789038827261""",3,3.60,Nijgh & Van Ditmar,Paperback,430,2006,2006,"",2015/12/04,"","",read,"","","",1,0
13486632,"The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared (The Hundred-Year-Old Man, #1)",Jonas Jonasson,"Jonasson, Jonas",Rod Bradbury,"=""1843913720""","=""9781843913726""",3,3.82,Hesperus Press,Paperback,396,2012,2009,"",2015/12/04,"","",read,"","","",1,0
17333230,The Luminaries,Eleanor Catton,"Catton, Eleanor","","=""0316074314""","=""9780316074315""",0,3.75,"Little, Brown and Company",Hardcover,848,2013,2013,"",2015/12/04,to-read,to-read (#10),to-read,"","","",0,0
466518,Nooit meer slapen,Willem Frederik Hermans,"Hermans, Willem Frederik","","=""9023401735""","=""9789023401735""",4,3.86,De Bezige Bij,Paperback,251,1974,1966,"",2015/12/04,"","",read,"","","",1,0
1380834,De avonden,Gerard Reve,"Reve, Gerard",Gerard Kornelis van het Reve,"=""""","=""""",3,3.49,De Bezige Bij,Paperback,191,1997,1947,"",2015/12/04,"","",read,"","","",1,0
1029082,De donkere kamer van Damokles,Willem Frederik Hermans,"Hermans, Willem Frederik","","=""9028204652""","=""9789028204652""",4,3.80,Van Oorschot,Hardcover,335,1990,1958,"",2015/12/04,"","",read,"","","",1,0
9355,Until I Find You,John Irving,"Irving, John","","=""0345479726""","=""9780345479723""",2,3.66,Ballantine Books,Paperback,820,2006,2005,"",2015/12/04,"","",read,"","","",1,0
4214,Life of Pi,Yann Martel,"Martel, Yann","","=""0770430074""","=""9780770430078""",3,3.94,Seal Books,Paperback,460,2006,2001,"",2015/12/04,"","",read,"","","",1,0
4894,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life...,Spencer Johnson,"Johnson, Spencer",Kenneth H. Blanchard,"=""0091883768""","=""9780091883768""",4,3.86,Vermilion,Hardcover,98,2002,1999,"",2015/12/04,"","",read,"","","",1,0
6751,Consider the Lobster and Other Essays,David Foster Wallace,"Wallace, David Foster","","=""0316156116""","=""9780316156110""",4,4.19,"Little, Brown and Company",Hardcover,343,2005,2005,"",2015/12/04,"","",read,"","","",1,0
77565,"The Fall of Hyperion (Hyperion Cantos, #2)",Dan Simmons,"Simmons, Dan","","=""0553288202""","=""9780553288209""",3,4.23,Spectra,Mass Market Paperback,517,1995,1990,"",2015/12/04,"","",read,"","","",1,0
301538,"The Darkness That Comes Before (The Prince of Nothing, #1)",R. Scott Bakker,"Bakker, R. Scott","","=""1585676772""","=""9781585676774""",4,3.83,The Overlook Press,Paperback,608,2005,2003,"",2015/12/04,"","",read,"","","",1,0
13806,"The Thousandfold Thought (The Prince of Nothing, #3)",R. Scott Bakker,"Bakker, R. Scott","","=""158567883X""","=""9781585678839""",1,3.94,The Overlook Press,Paperback,560,2007,2006,"",2015/12/04,"","",read,"","","",1,0
18877,"The Warrior Prophet (The Prince of Nothing, #2)",R. Scott Bakker,"Bakker, R. Scott","","=""1585677280""","=""9781585677283""",2,3.98,Harry N. Abrams/Overlook Press,Paperback,624,2005,2004,"",2015/12/04,"","",read,"","","",1,0
472331,Watchmen,Alan             Moore,"Moore, Alan","Dave Gibbons, John    Higgins","=""0930289234""","=""9780930289232""",4,4.38,DC Comics,Paperback,416,2005,1987,"",2015/12/04,"","",read,"","","",1,0
9328,The House of the Spirits,Isabel Allende,"Allende, Isabel",Magda Bogin,"=""0553383809""","=""9780553383805""",3,4.28,Dial Press Trade Paperback,Paperback,448,2005,1982,"",2015/12/04,"","",read,"","","",1,0
231821,The Incredible Journey,Sheila Burnford,"Burnford, Sheila","","=""0440226708""","=""9780440226703""",4,4.16,Random House Childrens Books,Paperback,145,1996,1960,"",2015/12/04,"","",read,"","","",1,0
1086389,Joe Speedboot,Tommy Wieringa,"Wieringa, Tommy","","=""9023414330""","=""9789023414339""",4,3.70,De Bezige Bij,Paperback,315,2005,2005,"",2015/12/04,"","",read,"","","",1,0
13053753,Ouwehoeren: verhalen uit de peeskamer,Martine Fokkens,"Fokkens, Martine",Louise Fokkens,"=""9461560354""","=""9789461560353""",1,2.70,Bertram + de Leeuw,Paperback,160,2011,2011,"",2015/12/04,"","",read,"","","",1,0
18360825,De qualastofont,Herman Brusselmans,"Brusselmans, Herman","","=""9044624261""","=""9789044624267""",3,2.70,Prometheus,Paperback,176,2013,2013,"",2015/12/04,"","",read,"","","",1,0
22668844,H Is for Hawk,Helen Macdonald,"Macdonald, Helen","","=""0802123414""","=""9780802123411""",0,3.74,Grove Press,Hardcover,300,2015,2014,"",2015/12/04,to-read,to-read (#9),to-read,"","","",0,0
8935689,"Consider Phlebas (Culture, #1)",Iain M. Banks,"Banks, Iain M.","","=""1857231384""","=""9781857231380""",3,3.85,Orbit,Paperback,467,1988,1987,"",2015/12/04,"","",read,"","","",1,0
77566,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan","","=""0553283685""","=""9780553283686""",5,4.27,Bantam Doubleday Dell Publishing Group,Mass Market Paperback,500,1990,1989,"",2015/12/04,"","",read,"","","",1,0
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"Hofstadter, Douglas R.","","=""0465026567""","=""9780465026562""",4,4.29,Basic Books,Paperback,777,1999,1979,"",2015/12/04,"","",read,"","","",1,0
8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Cain, Susan","","=""0307352145""","=""9780307352149""",0,4.08,"Crown Publishing Group/Random House, Inc.",Hardcover,333,2012,2012,"",2015/12/04,to-read,to-read (#8),to-read,"","","",0,0
102733,One Past Midnight: The Langoliers,Stephen         King,"King, Stephen",Willem Dafoe,"=""0453007449""","=""9780453007443""",2,3.93,Penguin/HighBridge Audio,Audio Cassette,9,1990,1990,"",2015/12/04,"","",read,"","","",1,0
11607,The Running Man,Richard Bachman,"Bachman, Richard",Stephen         King,"=""0451197968""","=""9780451197962""",2,3.90,Signet,Paperback,317,1999,1982,"",2015/12/04,"","",read,"","","",1,0
11602,Hearts in Atlantis,Stephen         King,"King, Stephen","","=""0340818670""","=""9780340818671""",3,3.86,New English Library,Paperback,640,2001,1999,"",2015/12/04,"","",read,"","","",1,0
535441,The Zombie Survival Guide: Complete Protection from the Living Dead,Max Brooks,"Brooks, Max","","=""1400049628""","=""9781400049622""",4,3.85,Three Rivers Press,Paperback,272,2003,2003,"",2015/12/04,"","",read,"","","",1,0
17660,The Tommyknockers,Stephen         King,"King, Stephen","","=""""","=""""",2,3.60,Signet,Mass Market Paperback,747,1993,1987,"",2015/12/04,"","",read,"","","",1,0
10566,Lisey's Story,Stephen         King,"King, Stephen","","=""0743289412""","=""9780743289412""",2,3.70,Scribner,Hardcover,513,2006,2006,"",2015/12/04,"","",read,"","","",1,0
9014,The Long Walk,Richard Bachman,"Bachman, Richard",Stephen         King,"=""0451196716""","=""9780451196712""",4,4.08,Berkley,Mass Market Paperback,370,1999,1978,"",2015/12/04,"","",read,"","","",1,0
11564,The Girl Who Loved Tom Gordon,Stephen         King,"King, Stephen","","=""1416524290""","=""9781416524298""",4,3.63,Pocket,Paperback,264,2000,1999,"",2015/12/04,"","",read,"","","",1,0
813214,The Mist,Stephen         King,"King, Stephen","","=""""","=""""",4,3.94,Signet,Paperback,176,2007,1980,"",2015/12/04,"","",read,"","","",1,0
10588,Nightmares and Dreamscapes,Stephen         King,"King, Stephen","","=""0450610098""","=""9780450610097""",3,3.95,Hodder and Stoughton,Paperback,836,1994,1993,"",2015/12/04,"","",read,"","","",1,0
10579,Everything's Eventual,Stephen         King,"King, Stephen","","=""1416524355""","=""9781416524359""",3,3.97,Pocket,Paperback,605,2005,2002,"",2015/12/04,"","",read,"","","",1,0
29059,Choke,Chuck Palahniuk,"Palahniuk, Chuck","","=""0385720920""","=""9780385720922""",3,3.71,Anchor Books,Paperback,293,2002,2001,"",2015/12/04,"","",read,"","","",1,0
28676,American Psycho,Bret Easton Ellis,"Ellis, Bret Easton","","=""0679735771""","=""9780679735779""",3,3.81,Vintage Contemporaries / Random House,Paperback,399,1991,1991,"",2015/12/04,"","",read,"","","",1,0
46170,For Whom the Bell Tolls,Ernest Hemingway,"Hemingway, Ernest","","=""""","=""""",0,3.98,Scribner,Paperback,471,1995,1940,"",2015/12/04,to-read,to-read (#7),to-read,"","","",0,0
529626,Sometimes a Great Notion,Ken Kesey,"Kesey, Ken","","=""0140045295""","=""9780140045291""",0,4.26,Penguin Books,Paperback,628,1977,1964,"",2015/12/04,to-read,to-read (#6),to-read,"","","",0,0
11734,"The Human Stain (The American Trilogy, #3)",Philip Roth,"Roth, Philip","","=""""","=""""",0,3.91,Vintage,Paperback,361,2001,2000,"",2015/12/04,to-read,to-read (#5),to-read,"","","",0,0
2666,The Bonfire of the Vanities,Tom Wolfe,"Wolfe, Tom","","=""""","=""""",4,3.90,Dial Press Trade Paperback,Paperback,690,2001,1987,"",2015/12/04,"","",read,"","","",1,0
7069,The World According to Garp,John Irving,"Irving, John","","=""0345915593""","=""9780345915597""",5,4.10,Ballantine Books,Hardcover,610,1999,1978,"",2015/12/04,"","",read,"","","",1,0
