Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
40545817,"Spring (Seasonal Quartet, #3)",Ali Smith,"Smith, Ali",,"=""0241207053""","=""9780241207055""",4,4.08,RANDOM HOUSE UK,Paperback,336,2019,2019,,2023/07/25,,,read,,,,1,0
830,Snow Crash,Neal Stephenson,"Stephenson, Neal",,"=""0553380958""","=""9780553380958""",2,4.02,Bantam Books,Paperback,438,2000,1992,2023/07/07,2015/09/24,,,read,,,,1,0
55606004,De ontdekking van Urk,Matthias M.R. Declercq,"Declercq, Matthias M.R.",,"=""9022337650""","=""9789022337653""",4,3.93,Manteau,Paperback,326,2020,2020,,2023/05/07,,,read,,,,1,0
59693959,Lapvona,Ottessa Moshfegh,"Moshfegh, Ottessa",,"=""""","=""""",0,3.53,Penguin Press,Kindle Edition,313,2022,2022,,2023/04/22,to-read,to-read (#145),to-read,,,,0,0
7651954,Croc Attack!,Assaf Gavvron,"Gavvron, Assaf",,"=""0007327463""","=""9780007327461""",3,3.75,Fourth Estate,Paperback,328,2010,2006,,2018/06/19,,,read,,,,1,0
12007,"Use of Weapons (Culture, #3)",Iain M. Banks,"Banks, Iain M.",,"=""185723135X""","=""9781857231359""",4,4.16,Orbit,Paperback,411,1992,1990,,2023/01/06,,,read,,,,1,0
6174,Survival in Auschwitz,Primo Levi,"Levi, Primo",,"=""0684826801""","=""9780684826806""",5,4.33,Simon & Schuster,Paperback,187,1996,1947,,2023/02/25,,,read,,,,1,0
582675,"Berserker (Berserker, #1)",Fred Saberhagen,"Saberhagen, Fred",,"=""0441054951""","=""9780441054954""",0,3.86,Ace,Mass Market Paperback,256,1986,1967,,2023/02/13,to-read,to-read (#144),to-read,,,,0,0
50608676,"Black Leopard, Red Wolf (The Dark Star Trilogy, #1)",Marlon James,"James, Marlon",,"=""0735220182""","=""9780735220188""",0,3.45,Riverhead Books,Paperback,640,2020,2019,,2023/02/11,to-read,to-read (#143),to-read,,,,0,0
33832433,"Moon Witch, Spider King (The Dark Star Trilogy #2)",Marlon James,"James, Marlon",,"=""0735220220""","=""9780735220225""",0,4.18,Riverhead Books,ebook,626,2022,2022,,2023/02/11,to-read,to-read (#142),to-read,,,,0,0
1518701,De eetclub,Saskia Noort,"Noort, Saskia",,"=""9041409068""","=""9789041411150""",0,3.14,Anthos,Hardcover,239,2004,2004,,2023/02/05,to-read,to-read (#141),to-read,,,,0,0
